[['Term'], ['Beginning Balance', 'Rental', 'Interest', 'Pricipal', 'Ending Balance']]
[[1], [960000.0, 22103.77, 3992.0, 18111.77, 941888.23]]
[[2], [941888.23, 22103.77, 3916.69, 18187.08, 923701.15]]
[[3], [923701.15, 22103.77, 3841.06, 18262.71, 905438.44]]
[[4], [905438.44, 22103.77, 3765.11, 18338.66, 887099.78]]
[[5], [887099.78, 22103.77, 3688.86, 18414.91, 868684.87]]
[[6], [868684.87, 22103.77, 3612.28, 18491.49, 850193.38]]
[[7], [850193.38, 22103.77, 3535.39, 18568.38, 831625.0]]
[[8], [831625.0, 22103.77, 3458.17, 18645.6, 812979.4]]
[[9], [812979.4, 22103.77, 3380.64, 18723.13, 794256.27]]
[[10], [794256.27, 22103.77, 3302.78, 18800.99, 775455.28]]
[[11], [775455.28, 22103.77, 3224.6, 18879.17, 756576.11]]
[[12], [756576.11, 22103.77, 3146.1, 18957.67, 737618.44]]
[[13], [737618.44, 22103.77, 3067.26, 19036.51, 718581.93]]
[[14], [718581.93, 22103.77, 2988.1, 19115.67, 699466.26]]
[[15], [699466.26, 22103.77, 2908.61, 19195.16, 680271.1]]
[[16], [680271.1, 22103.77, 2828.79, 19274.98, 660996.12]]
[[17], [660996.12, 22103.77, 2748.64, 19355.13, 641640.99]]
[[18], [641640.99, 22103.77, 2668.16, 19435.61, 622205.38]]
[[19], [622205.38, 22103.77, 2587.34, 19516.43, 602688.95]]
[[20], [602688.95, 22103.77, 2506.18, 19597.59, 583091.36]]
[[21], [583091.36, 22103.77, 2424.69, 19679.08, 563412.28]]
[[22], [563412.28, 22103.77, 2342.86, 19760.91, 543651.37]]
[[23], [543651.37, 22103.77, 2260.68, 19843.09, 523808.28]]
[[24], [523808.28, 22103.77, 2178.17, 19925.6, 503882.68]]
[[25], [503882.68, 22103.77, 2095.31, 20008.46, 483874.22]]
[[26], [483874.22, 22103.77, 2012.11, 20091.66, 463782.56]]
[[27], [463782.56, 22103.77, 1928.56, 20175.21, 443607.35]]
[[28], [443607.35, 22103.77, 1844.67, 20259.1, 423348.25]]
[[29], [423348.25, 22103.77, 1760.42, 20343.35, 403004.9]]
[[30], [403004.9, 22103.77, 1675.83, 20427.94, 382576.96]]
[[31], [382576.96, 22103.77, 1590.88, 20512.89, 362064.07]]
[[32], [362064.07, 22103.77, 1505.58, 20598.19, 341465.88]]
[[33], [341465.88, 22103.77, 1419.93, 20683.84, 320782.04]]
[[34], [320782.04, 22103.77, 1333.92, 20769.85, 300012.19]]
[[35], [300012.19, 22103.77, 1247.55, 20856.22, 279155.97]]
[[36], [279155.97, 22103.77, 1160.82, 20942.95, 258213.02]]
[[37], [258213.02, 22103.77, 1073.74, 21030.03, 237182.99]]
[[38], [237182.99, 22103.77, 986.29, 21117.48, 216065.51]]
[[39], [216065.51, 22103.77, 898.47, 21205.3, 194860.21]]
[[40], [194860.21, 22103.77, 810.29, 21293.48, 173566.73]]
[[41], [173566.73, 22103.77, 721.75, 21382.02, 152184.71]]
[[42], [152184.71, 22103.77, 632.83, 21470.94, 130713.77]]
[[43], [130713.77, 22103.77, 543.55, 21560.22, 109153.55]]
[[44], [109153.55, 22103.77, 453.9, 21649.87, 87503.68]]
[[45], [87503.68, 22103.77, 363.87, 21739.9, 65763.78]]
[[46], [65763.78, 22103.77, 273.47, 21830.3, 43933.48]]
[[47], [43933.48, 22103.77, 182.69, 21921.08, 22012.4]]
[[48], [22012.4, 22103.77, 91.53, 22012.24, 0.16]]
